ID State,State,ID Year,Year,Population,Slug State
04000US18,Indiana,2015,2015,6619680,indiana
04000US19,Iowa,2015,2015,3123899,iowa
04000US20,Kansas,2015,2015,2911641,kansas
04000US21,Kentucky,2015,2015,4425092,kentucky
04000US22,Louisiana,2015,2015,4670724,louisiana
04000US23,Maine,2015,2015,1329328,maine
04000US24,Maryland,2015,2015,6006401,maryland
04000US25,Massachusetts,2015,2015,6794422,massachusetts
04000US26,Michigan,2015,2015,9922576,michigan
04000US27,Minnesota,2015,2015,5489594,minnesota
04000US28,Mississippi,2015,2015,2992333,mississippi
04000US29,Missouri,2015,2015,6083672,missouri
04000US30,Montana,2015,2015,1032949,montana
04000US31,Nebraska,2015,2015,1896190,nebraska
04000US32,Nevada,2015,2015,2890845,nevada
04000US33,New Hampshire,2015,2015,1330608,new-hampshire
04000US34,New Jersey,2015,2015,8958013,new-jersey
04000US35,New Mexico,2015,2015,2085109,new-mexico
04000US36,New York,2015,2015,19795791,new-york
04000US37,North Carolina,2015,2015,10042802,north-carolina
04000US38,North Dakota,2015,2015,756928,north-dakota
04000US39,Ohio,2015,2015,11613423,ohio
04000US40,Oklahoma,2015,2015,3911338,oklahoma
04000US41,Oregon,2015,2015,4028977,oregon
04000US42,Pennsylvania,2015,2015,12802503,pennsylvania
04000US44,Rhode Island,2015,2015,1056298,rhode-island
04000US45,South Carolina,2015,2015,4896146,south-carolina
04000US46,South Dakota,2015,2015,858469,south-dakota
04000US47,Tennessee,2015,2015,6600299,tennessee
04000US48,Texas,2015,2015,27469114,texas
04000US49,Utah,2015,2015,2995919,utah
04000US50,Vermont,2015,2015,626042,vermont
04000US51,Virginia,2015,2015,8382993,virginia
04000US53,Washington,2015,2015,7170351,washington
04000US54,West Virginia,2015,2015,1844128,west-virginia
04000US55,Wisconsin,2015,2015,5771337,wisconsin
04000US56,Wyoming,2015,2015,586107,wyoming
04000US72,Puerto Rico,2015,2015,3474182,puerto-rico
04000US01,Alabama,2014,2014,4849377,alabama
04000US02,Alaska,2014,2014,736732,alaska
04000US04,Arizona,2014,2014,6731484,arizona
04000US05,Arkansas,2014,2014,2966369,arkansas
04000US06,California,2014,2014,38802500,california
04000US08,Colorado,2014,2014,5355866,colorado
04000US09,Connecticut,2014,2014,3596677,connecticut
04000US10,Delaware,2014,2014,935614,delaware
04000US11,District of Columbia,2014,2014,658893,district-of-columbia
04000US12,Florida,2014,2014,19893297,florida
04000US13,Georgia,2014,2014,10097343,georgia
04000US15,Hawaii,2014,2014,1419561,hawaii
04000US16,Idaho,2014,2014,1634464,idaho
04000US17,Illinois,2014,2014,12880580,illinois
04000US18,Indiana,2014,2014,6596855,indiana
04000US19,Iowa,2014,2014,3107126,iowa
04000US20,Kansas,2014,2014,2904021,kansas
04000US21,Kentucky,2014,2014,4413457,kentucky
04000US22,Louisiana,2014,2014,4649676,louisiana
04000US23,Maine,2014,2014,1330089,maine
04000US24,Maryland,2014,2014,5976407,maryland
04000US25,Massachusetts,2014,2014,6745408,massachusetts
04000US26,Michigan,2014,2014,9909877,michigan
04000US27,Minnesota,2014,2014,5457173,minnesota
04000US28,Mississippi,2014,2014,2994079,mississippi
04000US29,Missouri,2014,2014,6063589,missouri
04000US30,Montana,2014,2014,1023579,montana
04000US31,Nebraska,2014,2014,1881503,nebraska
04000US32,Nevada,2014,2014,2839099,nevada
04000US33,New Hampshire,2014,2014,1326813,new-hampshire
04000US34,New Jersey,2014,2014,8938175,new-jersey
04000US35,New Mexico,2014,2014,2085572,new-mexico
04000US36,New York,2014,2014,19746227,new-york
04000US37,North Carolina,2014,2014,9943964,north-carolina
04000US38,North Dakota,2014,2014,739482,north-dakota
04000US39,Ohio,2014,2014,11594163,ohio
04000US40,Oklahoma,2014,2014,3878051,oklahoma
04000US41,Oregon,2014,2014,3970239,oregon
04000US42,Pennsylvania,2014,2014,12787209,pennsylvania
04000US44,Rhode Island,2014,2014,1055173,rhode-island
04000US45,South Carolina,2014,2014,4832482,south-carolina
04000US46,South Dakota,2014,2014,853175,south-dakota
04000US47,Tennessee,2014,2014,6549352,tennessee
